Year,Categories,Percentage 
2017,Coal,54.51890833
2017,Oil,23.70992792
2017,Gas,14.18389638
2017,Cement,5.928097856
2017,Flaring,0.63818214
2017,Others,1.020987364
2018,Coal,54.63288233
2018,Oil,23.20632544
2018,Gas,14.54458497
2018,Cement,6.02141291
2018,Flaring,0.595876154
2018,Others,0.99891815
2019,Coal,54.83649292
2019,Oil,22.93531714
2019,Gas,14.56658075
2019,Cement,6.114750685
2019,Flaring,0.541805183
2019,Others,1.00505335
2020,Coal,54.85188152
2020,Oil,22.45613367
2020,Gas,14.85595568
2020,Cement,6.285755285
2020,Flaring,0.564059954
2020,Others,0.986213878
2021,Coal,55.09494459
2021,Oil,22.21418717
2021,Gas,15.06926971
2021,Cement,6.118374811
2021,Flaring,0.563364227
2021,Others,0.939859495
